seqnames,start,end,width,strand,sampleID,hgncSymbol,type,pValue,padjust,psiValue,deltaPsi,counts,totalCounts,meanCounts,meanTotalCounts,nonsplitCounts,nonsplitProportion,nonsplitProportion_99quantile
chr11,68590715,68591575,861,*,RD140,PPP6R3,jaccard,9.9725e-8,0.006786,0.57,-0.39,26,46,144.75,149.62,0,0,NA
chr2,96619545,96631311,11767,*,RD146,KANSL3,jaccard,9.9929e-8,0.037008,0.55,0.54,16,29,4.02,136.24,0,0,NA
chr12,100210352,100212259,1908,*,RD435,ACTR6;DEPDC4,jaccard,1.0003e-7,0.046151,1,0.99,7,7,0.56,63.87,0,0,NA
chr11,57425710,57425988,279,*,RD144,SLC43A3,jaccard,1.0008e-7,0.0074209,0.6,0.58,28,47,4.5,77.76,2,0.04,NA
chr1,1398672,1399018,347,*,RD534,CCNL2,jaccard,1.0009e-7,0.013808,0.6,-0.37,56,93,258.15,275.16,17,0.18,NA
chr19,35725334,35725478,145,*,UDN093752,KMT2B,jaccard,1.0027e-7,0.037889,0.33,-0.63,6,18,125.74,130.37,12,0.67,NA
chr5,150730741,150731043,303,*,RD293,DCTN4,jaccard,1.0029e-7,0.017721,0.12,-0.85,1,8,99.98,101.83,7,0.88,NA
chr19,55638169,55640125,1957,*,RD158,LOC107983998;ZNF581,jaccard,1.003e-7,0.012759,0.52,0.49,47,91,5.51,122.46,44,0.48,NA
chr9,121124085,121125715,1631,*,RD420,CNTRL,jaccard,1.0032e-7,0.0328,0,-0.89,0,12,56.04,59.71,5,0.42,NA
chr18,76928107,76935979,7873,*,UDN093752,ZNF236,jaccard,1.0037e-7,0.037889,0.97,0.95,28,29,2.66,26.88,0,0,NA
chr7,142865631,142865959,329,*,RD534,NA,jaccard,1.0045e-7,0.013811,0,-0.88,0,12,71.94,77.71,12,1,NA
chr22,37182736,37185217,2482,*,RD448,C1QTNF6,jaccard,1.0046e-7,0.033917,0,-0.87,0,22,29.62,35.85,22,1,NA
chr4,83310891,83313113,2223,*,UDN110107,HPSE,jaccard,1.0047e-7,0.041321,0.56,-0.44,25,45,96.71,99.51,0,0,NA
chr10,49973143,49987164,14022,*,UDN110107,TIMM23B;TIMM23B-AGAP6,jaccard,1.005e-7,0.041321,0.84,0.74,43,51,10.67,57.71,8,0.16,NA
chr16,259600,259968,369,*,RD140,FAM234A,jaccard,1.0072e-7,0.0068231,0.17,-0.75,4,24,93.8,107.1,0,0,NA
chr2,58058489,58084088,25600,*,RD275,VRK2,jaccard,1.0072e-7,0.0097037000000000009,0.95,0.84,18,19,1.26,52.52,0,0,NA
chr12,49031027,49031174,148,*,RD158,KMT2D,jaccard,1.0078e-7,0.012759,0.37,0.37,10,27,0.74,200.2,0,0,NA
chr17,44324200,44324298,99,*,RD144,SLC25A39,jaccard,1.0085e-7,0.0074538,0.64,0.61,25,39,4.03,113.75,14,0.36,NA
chr2,112091784,112097043,5260,*,GSS178184,TMEM87B,jaccard,1.0096e-7,0.034086,0,-0.97,0,12,27.58,30.61,12,1,NA
chr1,160097792,160098408,617,*,RD293,IGSF8,jaccard,1.0104e-7,0.017765,0.49,0.47,21,43,1.46,112.85,0,0,NA
chr5,55327779,55328698,920,*,RD146,MTREX,jaccard,1.0121e-7,0.037008,0.5,-0.49,18,36,96.2,96.7,6,0.17,NA
chr10,97452504,97452894,391,*,RD143,ZDHHC16,jaccard,1.0131e-7,0.0050932,0.03,-0.72,1,31,77.95,105.34,16,0.52,NA
chr19,12670081,12670179,99,*,RD139,WDR83;DHPS,jaccard,1.0136e-7,0.0039483,0.54,0.51,22,41,5.51,158.71,19,0.46,NA
chr9,92115067,92115313,247,*,RD420,SPTLC1,jaccard,1.0136e-7,0.032882,0.71,0.7,12,17,2.09,71.83,0,0,NA
chr1,2521316,2521717,402,*,UDN077682,NA,jaccard,1.0139e-7,0.019027,0.66,-0.32,87,131,110.82,118.52,44,0.34,NA
chr14,24183162,24183249,88,*,RD293,NA,jaccard,1.0139e-7,0.017765,0.64,0.58,16,25,3.53,167.8,3,0.12,NA
chr10,99727072,99727440,369,*,RD158,COX15;CUTC,jaccard,1.0143e-7,0.012803,0.62,0.61,28,45,5.72,102.54,2,0.04,NA
chr2,101032386,101033543,1158,*,RD144,TBC1D8,jaccard,1.0143e-7,0.0074681,0.18,-0.76,5,28,41.76,50.79,23,0.82,NA
chr17,43190777,43191371,595,*,RD534,NBR1,jaccard,1.0148e-7,0.013903,0.47,-0.48,23,49,174.97,193.52,0,0,NA
chr2,99322210,99327534,5325,*,RD146,MRPL30;LOC107985923;TXNDC9,jaccard,1.0153e-7,0.037008,0.45,-0.53,15,33,88.88,93.69,0,0,NA
chr3,150423121,150457075,33955,*,RD142,TSC22D2,jaccard,1.0169e-7,0.0036717,0.7,0.68,32,46,1.64,52.49,0,0,NA
chr14,20990078,20990229,152,*,UDN077682,METTL17,jaccard,1.0172e-7,0.019027,0.51,-0.45,63,124,112.72,126.26,61,0.49,NA
chr10,1056565,1072115,15551,*,RD534,WDR37,jaccard,1.0178e-7,0.013903,0.77,0.72,48,62,9.25,79.5,14,0.23,NA
chr14,105392846,105393221,376,*,RD158,PACS2,jaccard,1.0197e-7,0.012831,0.6,-0.39,38,63,111.27,113.42,10,0.16,NA
chr1,42746853,42747252,400,*,RD144,P3H1,jaccard,1.0213e-7,0.0075058,0.68,0.65,40,59,10.8,94,15,0.25,NA
chr1,20981228,21001198,19971,*,UDN240668,EIF4G3,jaccard,1.0216e-7,0.02984,0.79,0.74,71,90,9.05,63.01,0,0,NA
chr11,64368261,64368467,207,*,RD140,RPS6KA4,jaccard,1.0229e-7,0.0068975,0.31,-0.57,10,32,232.21,279.29,0,0,NA
chr14,24195037,24195345,309,*,RD142,NA,jaccard,1.0239e-7,0.0036941,0.15,-0.77,3,20,128.4,165.54,0,0,NA
chr1,46188981,46189457,477,*,RD221,POMGNT1,jaccard,1.0257e-7,0.016901,0.04,-0.37,5,131,4.43,150.33,104,0.79,NA
chr17,60252443,60255174,2732,*,UDN110107,USP32,jaccard,1.026e-7,0.041768,0.52,-0.47,14,27,113.61,118.39,9,0.33,NA
chr6,6626422,6649624,23203,*,RD453,LY86,jaccard,1.0261e-7,0.034642,0.23,-0.6,6,26,250.81,263.88,0,0,NA
chr15,82823288,82826387,3100,*,UDN240668,WHAMM,jaccard,1.0276e-7,0.02984,0.93,0.9,14,15,6.11,66.76,0,0,NA
chr22,29957089,29970975,13887,*,RD142,MTMR3,jaccard,1.0282e-7,0.0037038,0.23,-0.68,7,31,109.44,126.43,0,0,NA
chr7,100345969,100349730,3762,*,RD144,STAG3L5P-PVRIG2P-PILRB,jaccard,1.0285e-7,0.007519,0.54,0.47,25,46,50.05,265.44,3,0.07,NA
chr2,86158722,86159535,814,*,RD143,IMMT,jaccard,1.0291e-7,0.0051612,0.62,-0.36,45,72,125.18,132.66,0,0,NA
chr21,46529184,46532126,2943,*,RD534,DIP2A,jaccard,1.0292e-7,0.014013,0,-0.93,0,10,49.96,50.68,0,0,NA
chr11,66838446,66842848,4403,*,RD142,TOP6BL;RCE1,jaccard,1.0293e-7,0.0037038,0.14,-0.8,3,21,60.81,89.53,0,0,NA
chr7,158749724,158752780,3057,*,RD142,ESYT2,jaccard,1.0319e-7,0.0037101,0.4,0.39,24,60,46.77,265.64,0,0,NA
chr1,62437401,62439798,2398,*,RD448,USP1,jaccard,1.0333e-7,0.034603,0,-0.9,0,20,35.54,43.97,0,0,NA
chr1,158938543,158939079,537,*,UDN093752,PYHIN1,jaccard,1.0334e-7,0.03866,0.67,-0.31,74,110,138.86,147.63,14,0.13,NA
chr1,226380165,226381067,903,*,RD141,PARP1,jaccard,1.0335e-7,0.014862,0.57,-0.38,17,30,273.7,281.19,13,0.43,NA
chr2,147943523,147972738,29216,*,RD141,ORC4,jaccard,1.0337e-7,0.014862,0.65,0.62,20,31,0.47,106.4,1,0.03,NA
chr22,36476857,36480574,3718,*,RD141,TXN2,jaccard,1.0344e-7,0.014862,0.65,-0.32,52,80,376.71,400.54,0,0,NA
chr17,81114892,81115769,878,*,RD142,BAIAP2;AATK,jaccard,1.0355e-7,0.0037196,1,0.84,22,22,0.59,59.59,0,0,NA
chr4,88487180,88489165,1986,*,RD146,HERC5,jaccard,1.0363e-7,0.037421,0.3,-0.69,6,20,111.72,116.88,0,0,NA
chrX,80682095,80682464,370,*,UDN077682,BRWD3,jaccard,1.0384e-7,0.019246,0,-0.97,0,9,39.68,42.77,9,1,NA
chr12,111365652,111366112,461,*,RD534,PHETA1,jaccard,1.0385e-7,0.014093,1,0.96,16,16,3.37,39.15,0,0,NA
chr3,49699106,49699467,362,*,GSS225379,RNF123,jaccard,1.0411e-7,0.022753,0.4,-0.59,106,268,87.12,91.63,162,0.6,NA
chr11,65713849,65714494,646,*,RD139,KAT5;RNASEH2C,jaccard,1.0437e-7,0.0040539,0.58,-0.38,23,40,318.87,330.01,17,0.42,NA
chr19,4180910,4181298,389,*,RD139,SIRT6,jaccard,1.0446e-7,0.0040539,1,0.92,15,15,0.21,110.93,0,0,NA
chr14,99257840,99271160,13321,*,RD142,BCL11B,jaccard,1.0449e-7,0.0037502,0,-0.88,0,19,46.73,71.45,0,0,NA
chr14,24183162,24183249,88,*,RD142,NA,jaccard,1.0466e-7,0.0037529,0.5,0.48,14,28,3.53,167.8,14,0.5,NA
chr1,120913451,120952438,38988,*,RD139,LOC100996720;LINC00623,jaccard,1.0467e-7,0.0040581,0.35,-0.39,61,176,305.48,422.25,2,0.01,NA
chr19,43740219,43747441,7223,*,RD293,SMG9,jaccard,1.0471e-7,0.018042,0.71,0.69,10,14,5.45,176.65,0,0,NA
chr12,132142423,132142727,305,*,RD158,NA,jaccard,1.048e-7,0.013147,0.06,-0.66,3,53,47.26,58.8,20,0.38,NA
chr1,109659111,109659789,679,*,RD465,GSTM4,jaccard,1.0483e-7,0.029021,1,0.99,6,6,0.97,73.6,0,0,NA
chr20,35476676,35490855,14180,*,RD143,CEP250;CEP250-AS1,jaccard,1.0484e-7,0.0052514,1,0.96,11,11,15.69,98.43,0,0,NA
chr14,102443828,102445805,1978,*,RD142,TECPR2,jaccard,1.0506e-7,0.0037641,0.32,-0.63,6,19,161.28,167.93,13,0.68,NA
chr20,1894797,1895438,642,*,RD146,SIRPA,jaccard,1.0516e-7,0.037646,0.61,0.59,11,18,11.71,228.06,3,0.17,NA
chr2,96863403,96863681,279,*,RD534,SEMA4C,jaccard,1.054e-7,0.014229,0.85,0.81,22,26,2.96,62.24,0,0,NA
chr6,47576603,47577008,406,*,RD144,CD2AP,jaccard,1.054e-7,0.007685,0,-0.93,0,12,48.53,51.4,0,0,NA
chr20,44912854,44921593,8740,*,RD139,PABPC1L,jaccard,1.0549e-7,0.0040826,0.57,0.44,37,65,0.86,159.97,0,0,NA
chr10,97373895,97374332,438,*,RD534,RRP12,jaccard,1.0554e-7,0.014229,0.52,0.5,36,69,7.45,129.07,7,0.1,NA
chr13,114284359,114286301,1943,*,RD144,UPF3A,jaccard,1.0564e-7,0.007685,0.79,0.78,19,24,3.97,61.47,5,0.21,NA
chr8,132832400,132836539,4140,*,RD144,PHF20L1,jaccard,1.0567e-7,0.007685,0.09,-0.85,1,11,88.32,94.4,10,0.91,NA
chr20,2860368,2860448,81,*,RD140,VPS16,jaccard,1.0573e-7,0.0070588,0.36,-0.56,16,45,113.52,126.81,7,0.16,NA
chr9,89388793,89388871,79,*,RD142,SEMA4D,jaccard,1.0577e-7,0.0037843,0.53,-0.37,34,64,369.31,400.16,30,0.47,NA
chr17,57872856,57872967,112,*,RD432,CUEDC1,jaccard,1.058e-7,0.046737,0.61,0.59,30,49,2.15,103.93,1,0.02,NA
chr19,38305508,38306881,1374,*,RD142,YIF1B,jaccard,1.0581e-7,0.0037843,0.47,0.43,42,90,19.53,204.32,2,0.02,NA
chr22,42797606,42799038,1433,*,RD139,ARFGAP3,jaccard,1.0587e-7,0.0040932,0.42,-0.47,27,65,125.58,143.61,38,0.58,NA
chr8,61644002,61644599,598,*,RD143,ASPH,jaccard,1.0592e-7,0.0052864,0,-0.85,0,38,33.63,40.99,0,0,NA
chr19,35744739,35745124,386,*,RD139,IGFLR1;U2AF1L4,jaccard,1.0603e-7,0.0040946,0.6,0.55,30,50,25.06,178.27,18,0.36,NA
chr15,43216454,43218426,1973,*,RD139,EPB42,jaccard,1.061e-7,0.0040946,0.51,0.48,36,71,0.71,175.17,0,0,NA
chr8,26293741,26338889,45149,*,RD293,PPP2R2A,jaccard,1.061e-7,0.01809,0.43,-0.52,20,46,128.49,139.27,0,0,NA
chr16,56468019,56470002,1984,*,RD534,NUDT21;OGFOD1;BBS2,jaccard,1.0618e-7,0.014249,0.27,-0.72,4,15,66.07,69.18,11,0.73,NA
chr10,58227140,58237719,10580,*,UDN240668,IPMK,jaccard,1.0624e-7,0.030362,1,0.94,19,19,2.82,43.55,0,0,NA
chr15,45405506,45407028,1523,*,RD140,AFG2B,jaccard,1.0627e-7,0.0070794,0.76,0.75,13,17,2.26,54.66,2,0.12,NA
chr17,32199551,32200955,1405,*,UDN093752,RHOT1,jaccard,1.063e-7,0.039413,0.67,-0.33,55,82,108.57,109.49,0,0,NA
chr18,12351414,12356693,5280,*,RD293,AFG3L2,jaccard,1.063e-7,0.01809,0.78,0.76,7,9,0.26,166.53,0,0,NA
chr1,154341063,154342479,1417,*,RD534,ATP8B2,jaccard,1.0637e-7,0.014249,0.5,-0.47,16,32,144.04,153.48,16,0.5,NA
chr6,70755066,70773349,18284,*,UDN550488.Aligned.sortedByCoord.out.bam,SMAP1,jaccard,1.0647e-7,0.022791,0.18,-0.53,13,71,97.3,99.65,58,0.82,NA
chr11,2884135,2885201,1067,*,RD142,NA,jaccard,1.0654e-7,0.0038073,0.48,0.46,22,46,12.21,210.48,7,0.15,NA
chr18,74158277,74158375,99,*,RD465,TIMM21,jaccard,1.0658e-7,0.029023,0,-0.95,0,14,37.68,43.25,14,1,NA
chr19,42250566,42254977,4412,*,UDN240668,GSK3A;ERF,jaccard,1.0675e-7,0.030362,0.41,-0.44,71,175,167.54,201.81,36,0.21,NA
chr2,178539967,178540067,101,*,UDN077682,TTN-AS1;LOC101927055;LOC124906101;TTN;LOC124906100,jaccard,1.0682e-7,0.019626,0.76,0.75,34,45,1.03,35.38,11,0.24,NA
chr17,35498534,35522278,23745,*,RD140,SLFN12L,jaccard,1.0694e-7,0.0071035,0.37,0.36,26,70,7.25,231.92,26,0.37,NA
chr9,37763866,37768086,4221,*,RD275,SHB;TRMT10B;EXOSC3,jaccard,1.07e-7,0.010191,1,0.8,28,28,1.04,40.16,0,0,NA
chr22,19465275,19467872,2598,*,UDN550488.Aligned.sortedByCoord.out.bam,UFD1,jaccard,1.0711e-7,0.022808,0.03,-0.36,9,263,277.25,304.5,254,0.97,NA
chr15,90607479,90614452,6974,*,RD142,CRTC3,jaccard,1.0713e-7,0.003822,0.12,-0.82,2,16,73.71,79.3,14,0.88,NA
chr17,17161357,17171717,10361,*,RD142,MPRIP,jaccard,1.0714e-7,0.003822,0.39,-0.52,21,54,129.12,212.13,0,0,NA
chr7,140335440,140337283,1844,*,RD139,SLC37A3,jaccard,1.0719e-7,0.0041252,0.55,0.52,22,40,1.59,109.34,17,0.42,NA
chr17,2303153,2303632,480,*,RD465,SMG6;SRR,jaccard,1.073e-7,0.029023,1,0.99,16,16,0.9,32,0,0,NA
chr4,185362106,185362610,505,*,RD144,SNX25,jaccard,1.0734e-7,0.0077765,0,-0.93,0,14,25.63,27.2,0,0,NA
chr1,3500765,3500965,201,*,UDN093752,MEGF6,jaccard,1.0747e-7,0.039494,0.48,-0.51,13,27,70.22,71.32,0,0,NA
chr11,65131597,65132247,651,*,RD533,SYVN1,jaccard,1.0747e-7,0.042502,0.41,-0.54,14,34,81.71,95.85,20,0.59,NA
chr16,30753558,30756181,2624,*,RD142,PHKG2,jaccard,1.0747e-7,0.0038307,0.56,-0.39,29,52,224.25,261.13,0,0,NA
chr2,130172678,130172786,109,*,GSS225379,NA,jaccard,1.0756e-7,0.023384,0.63,-0.36,112,177,95.75,97.76,65,0.37,NA
chr17,28633105,28633282,178,*,RD142,BLTP2,jaccard,1.0757e-7,0.003831,0.36,0.35,18,50,0.72,142.8,0,0,NA
chrX,17074160,17077270,3111,*,RD158,REPS2,jaccard,1.0765e-7,0.013384,0,-0.94,0,13,49.23,54.18,0,0,NA
chr20,58247507,58248114,608,*,UDN077682,PPP4R1L,jaccard,1.0767e-7,0.019696,0,-0.99,0,8,31.39,32.5,8,1,NA
chr19,14600263,14619258,18996,*,RD140,CLEC17A;ADGRE3,jaccard,1.0768e-7,0.0071312,0.53,0.51,16,30,17.23,287.25,14,0.47,NA
chr7,2659016,2661667,2652,*,RD139,TTYH3,jaccard,1.0771e-7,0.0041415,0.69,-0.3,37,54,369.56,394.47,0,0,NA
chr14,34786222,34792774,6553,*,RD143,BAZ1A,jaccard,1.0778e-7,0.0053664,0.08,-0.6,3,36,78.86,137.01,3,0.08,NA
chr8,94495892,94496327,436,*,RD534,VIRMA,jaccard,1.0781e-7,0.014395,0.46,-0.52,22,48,81.08,88.02,8,0.17,NA
chr7,135169061,135170275,1215,*,RD465,CYREN,jaccard,1.0797e-7,0.029023,0.3,0.3,36,120,3.64,203.29,32,0.27,NA
chr1,1309274,1309453,180,*,RD448,ACAP3;PUSL1,jaccard,1.0799e-7,0.03559,0.69,-0.31,57,83,76.13,77.17,26,0.31,NA
chr17,75269470,75270113,644,*,RD144,MIF4GD,jaccard,1.081e-7,0.0078064,0.72,0.68,13,18,26.44,193.91,0,0,NA
chr12,118403518,118411072,7555,*,RD275,SUDS3,jaccard,1.0826e-7,0.010287,0,-0.62,0,32,110.77,118.67,0,0,NA
chr1,204622047,204626972,4926,*,RD142,LOC105371692;LRRN2,jaccard,1.0828e-7,0.0038497,1,0.94,24,24,4.39,31.36,0,0,NA
chr7,45102492,45103332,841,*,RD143,TBRG4,jaccard,1.0836e-7,0.0053759,0.99,0.3,74,75,177.69,244.87,1,0.01,NA
chr5,43292638,43292847,210,*,RD142,HMGCS1,jaccard,1.0847e-7,0.003853,0.35,-0.6,12,34,62.56,69,22,0.65,NA
chr11,61789922,61790492,571,*,UDN550488.Aligned.sortedByCoord.out.bam,TMEM258,jaccard,1.0848e-7,0.022983,0.54,-0.32,88,163,589.9,606.03,75,0.46,NA
chr13,51719349,51727677,8329,*,GSS225379,WDFY2,jaccard,1.0861e-7,0.023489,0.45,-0.49,59,131,90.22,99.54,68,0.52,NA
chr7,1044659,1045336,678,*,RD140,C7orf50;GPR146,jaccard,1.0862e-7,0.0071754,1,0.92,19,19,25.05,89.16,0,0,NA
chr1,206493992,206496111,2120,*,RD140,IKBKE;IKBKE-AS1,jaccard,1.0869e-7,0.0071754,0.37,-0.47,24,65,159.04,187.03,9,0.14,NA
chr10,17159230,17160304,1075,*,RD465,TRDMT1,jaccard,1.087e-7,0.029023,0.08,-0.89,4,48,15.99,16.49,15,0.31,NA
chr19,7910374,7910452,79,*,RD293,MAP2K7,jaccard,1.0875e-7,0.018433,0.41,-0.54,20,49,165.58,181.99,29,0.59,NA
chr19,54219955,54239698,19744,*,UDN240668,LILRB3,jaccard,1.0886e-7,0.030751,0.43,0.43,89,206,0.92,109.69,117,0.57,NA
chr17,2337746,2361636,23891,*,RD420,SGSM2,jaccard,1.0896e-7,0.035073,0.41,0.41,12,29,2.82,204.59,0,0,NA
chr17,44092285,44092395,111,*,RD139,HDAC5,jaccard,1.0896e-7,0.0041776,0.39,0.37,14,36,25.07,393.83,8,0.22,NA
chr16,30651128,30651595,468,*,RD465,PRR14,jaccard,1.0903e-7,0.029023,0.33,0.31,54,163,17.68,268.42,21,0.13,NA
chr9,85646419,85655142,8724,*,RD139,AGTPBP1,jaccard,1.0921e-7,0.0041809,0.37,-0.54,34,92,104.23,131.13,24,0.26,NA
chr2,191036300,191039198,2899,*,RD139,STAT4,jaccard,1.0924e-7,0.0041809,0.56,-0.4,45,80,187.68,198.1,2,0.03,NA
chr2,196989650,196993582,3933,*,RD144,ANKRD44,jaccard,1.0928e-7,0.0078545,0.35,0.33,43,122,17,297.93,48,0.39,NA
chr5,38944570,38944912,343,*,RD144,OSMR;RICTOR,jaccard,1.0938e-7,0.0078545,0.65,-0.34,42,65,67.55,70.19,23,0.35,NA
chr10,97456045,97456776,732,*,GSS178184,ZDHHC16,jaccard,1.0939e-7,0.036089,0.29,-0.62,12,42,63.01,73.97,30,0.71,NA
chr13,49555674,49559917,4244,*,RD534,RCBTB1,jaccard,1.0939e-7,0.014559,0,-0.86,0,44,36.47,41.33,0,0,NA
chr3,196722557,196726654,4098,*,RD144,PIGX,jaccard,1.0952e-7,0.0078545,0.57,0.54,24,42,9.12,139.12,4,0.1,NA
chr18,683396,685920,2525,*,UDN077682,ENOSF1,jaccard,1.0961e-7,0.019938,0.5,0.5,22,44,1.43,62.25,6,0.14,NA
chr11,65628704,65628818,115,*,UDN238929.Aligned.sortedByCoord.out.bam,PCNX3,jaccard,1.097e-7,0.026797,0.19,-0.51,22,113,160.77,167.22,91,0.81,NA
chr17,47560590,47569416,8827,*,RD139,NPEPPS,jaccard,1.0975e-7,0.0041964,0.76,0.73,16,21,0.5,71.05,0,0,NA
chr5,75702811,75705703,2893,*,RD534,POC5,jaccard,1.098e-7,0.014566,0,-0.94,0,16,36.63,42.32,16,1,NA
chr10,100256477,100267570,11094,*,UDN110107,CWF19L1,jaccard,1.0996e-7,0.043903,0.35,0.34,24,69,1.59,153.01,7,0.1,NA
chr6,41921831,41927373,5543,*,UDN077682,BYSL,jaccard,1.0996e-7,0.019938,0,-0.94,0,10,51.06,54.76,10,1,NA
chrX,149934138,149937413,3276,*,RD139,EOLA2,jaccard,1.1e-7,0.0042021,0.58,0.54,40,69,10.34,127.4,0,0,NA
chr2,200949644,200957400,7757,*,GSS178184,ORC2,jaccard,1.1011e-7,0.036089,0.13,-0.86,2,15,27.35,28,1,0.07,NA
chr3,194651217,194652728,1512,*,RD142,LSG1,jaccard,1.1017e-7,0.0039005,0,-0.94,0,11,46.76,57.4,11,1,NA
chr22,50249517,50249634,118,*,RD141,HDAC10,jaccard,1.1038e-7,0.015751,0.42,0.41,36,85,10.21,199.08,0,0,NA
chrX,71128121,71128295,175,*,UDN093752,MED12,jaccard,1.1046e-7,0.040237,0.33,-0.62,17,51,62.58,67.76,0,0,NA
chr2,230865146,230873416,8271,*,RD142,ITM2C,jaccard,1.1048e-7,0.0039034,0,-0.64,0,41,213.44,237.03,0,0,NA
chr19,11345738,11346126,389,*,RD139,RAB3D;TMEM205;CCDC159,jaccard,1.1054e-7,0.0042189,0.36,0.34,36,99,27.7,308.9,29,0.29,NA
chr22,19895201,19895406,206,*,RD142,TXNRD2,jaccard,1.1056e-7,0.0039034,0.93,0.85,25,27,13.54,75.63,1,0.04,NA
chr12,53213701,53214058,358,*,RD142,RARG,jaccard,1.1061e-7,0.0039034,0,-0.94,0,8,95.02,104.2,8,1,NA
chr8,102279209,102280393,1185,*,RD293,UBR5,jaccard,1.1066e-7,0.018671,0,-0.86,0,11,103.29,106.26,11,1,NA
chr22,39504535,39511287,6753,*,RD534,MIEF1,jaccard,1.1073e-7,0.014596,0.16,-0.77,6,38,50.12,68.24,0,0,NA
chr9,127761651,127771185,9535,*,RD275,SH2D3C,jaccard,1.1074e-7,0.010498,0.57,0.54,13,23,16.85,355.27,0,0,NA
chr12,105190156,105195444,5289,*,RD139,APPL2,jaccard,1.1078e-7,0.0042201,0.4,0.39,32,80,1.22,148.19,2,0.03,NA
chr17,68370525,68385063,14539,*,RD144,ARSG,jaccard,1.1085e-7,0.0079363,0.36,-0.6,25,69,94.88,110.33,0,0,NA
chrX,48976112,48976240,129,*,RD221,NA,jaccard,1.1086e-7,0.018123,0.98,0.45,43,44,183.76,234.81,1,0.02,NA
chr10,110596551,110598138,1588,*,GSS225379,SMC3,jaccard,1.1095e-7,0.023871,0.51,-0.48,111,219,78.78,83.06,108,0.49,NA
chr12,105141247,105142452,1206,*,RD143,WASHC4,jaccard,1.1096e-7,0.0054853,0.07,-0.81,1,14,66.72,69.04,13,0.93,NA
chr2,70989018,70989748,731,*,RD139,TEX261;ATP6V1B1-AS1,jaccard,1.1096e-7,0.0042232,0.52,-0.43,23,44,131.69,167.51,21,0.48,NA
chr7,45109288,45111638,2351,*,RD139,TBRG4,jaccard,1.1108e-7,0.0042241,0.46,0.46,24,52,1.16,81.49,10,0.19,NA
chr12,121222167,121228532,6366,*,RD293,P2RX4,jaccard,1.111e-7,0.018671,0.48,0.43,30,62,6.44,259.4,3,0.05,NA
chr1,77206732,77210435,3704,*,UDN077682,PIGK,jaccard,1.1112e-7,0.020061,0.46,-0.54,31,68,50.73,55.58,0,0,NA
chr12,104097692,104098342,651,*,RD140,HCFC2,jaccard,1.1112e-7,0.0073129,1,0.93,12,12,1.33,41.68,0,0,NA
chr2,74877322,74878687,1366,*,RD144,HK2,jaccard,1.1113e-7,0.0079429,0.29,-0.68,5,17,70.6,74.36,12,0.71,NA
chr1,151170104,151170919,816,*,GSS178184,SCNM1;TMOD4,jaccard,1.1124e-7,0.036089,0.82,0.81,14,17,0.92,33.42,3,0.18,NA
chr19,9835403,9838011,2609,*,RD139,PIN1,jaccard,1.1149e-7,0.0042355,0.36,0.35,14,39,0.94,331.54,2,0.05,NA
chr11,69668013,69673215,5203,*,RD143,LTO1,jaccard,1.1159e-7,0.0055035,0.86,0.84,24,28,0.25,91.41,4,0.14,NA
chrX,132217142,132217277,136,*,RD158,RAP2C;RAP2C-AS1,jaccard,1.117e-7,0.013846,0.37,0.37,19,51,6.46,210.38,25,0.49,NA
chrX,21992713,21994311,1599,*,GSS225379,SMS,jaccard,1.1183e-7,0.023938,0.67,-0.3,130,194,182.08,186.91,62,0.32,NA
chr20,35739018,35740823,1806,*,RD144,RBM39,jaccard,1.1194e-7,0.0079868,0.53,0.35,118,222,317.11,906.09,34,0.15,NA
chr13,99201568,99238426,36859,*,RD140,UBAC2,jaccard,1.1205e-7,0.007339,0.38,0.37,28,73,5.73,196.7,1,0.01,NA
chr2,61502311,61522610,20300,*,RD141,XPO1,jaccard,1.1243e-7,0.015911,0,-0.89,0,11,119.97,134.41,1,0.09,NA
chr7,92089530,92093119,3590,*,RD141,AKAP9;CYP51A1,jaccard,1.1251e-7,0.015911,0.75,0.72,12,16,0.78,84.6,2,0.12,NA
chr8,29063964,29064339,376,*,RD144,NA,jaccard,1.1254e-7,0.0080155,0.72,0.72,13,18,0.89,70.87,4,0.22,NA
chr19,13983271,13983485,215,*,RD533,NA,jaccard,1.1269e-7,0.044147,0.12,-0.87,1,8,62.65,63.81,7,0.88,NA
chr9,136407939,136410293,2355,*,UDN077682,ENTR1,jaccard,1.1287e-7,0.02029,0.31,0.3,63,206,1.43,125.43,31,0.15,NA
chr1,31633315,31635221,1907,*,RD144,PEF1,jaccard,1.1298e-7,0.0080198,0.64,-0.31,88,137,203.04,223.33,13,0.09,NA
chr22,31874406,31876156,1751,*,RD534,DEPDC5,jaccard,1.1312e-7,0.014725,0.08,-0.83,2,26,47.92,55.57,8,0.31,NA
chr19,35545817,35545887,71,*,RD139,TMEM147-AS1;TMEM147,jaccard,1.1321e-7,0.004296,0.64,-0.35,49,77,219.91,235.38,28,0.36,NA
chr16,67082309,67098709,16401,*,RD143,CBFB,jaccard,1.1356e-7,0.0055672,0.94,0.45,51,54,90.5,270.25,3,0.06,NA
chr12,132151369,132151483,115,*,RD142,NA,jaccard,1.1367e-7,0.0040002,0.12,-0.85,1,8,138.94,144.13,7,0.88,NA
chr8,23243813,23246255,2443,*,RD141,CHMP7,jaccard,1.1378e-7,0.015961,1,0.72,18,18,48.39,288.58,0,0,NA
